CASE1,CASE2,CASE3,CASE4
1475.1,1475.1,1458.3,1456.6
1475,1475,1458.4,1456.6
1475,1475,1458.5,1456.6
1475,1475,1458.4,1456.6
1474.9,1474.9,1458.2,1456.6
1474.9,1474.9,1457.9,1456.6
1474.8,1474.8,1457.3,1456.6
1474.8,1474.8,1456.7,1456.6
1474.7,1474.7,1456,1456.6
1474.6,1474.6,1455.3,1456.6
1474.4,1474.4,1454.8,1456.6
1474.2,1474.2,1454.5,1456.7
1474,1474,1454.5,1456.7
1473.7,1473.7,1454.7,1456.7
1473.4,1473.4,1455.1,1456.7
1473.1,1473.1,1455.7,1456.6
1472.8,1472.8,1456.3,1456.5
1472.5,1472.5,1457,1456.3
1472.2,1472.2,1457.5,1456
1471.9,1471.9,1458,1455.7
1471.6,1471.6,1458.3,1455.4
1471.4,1471.4,1458.5,1455.1
1471.2,1471.2,1458.5,1454.9
1471,1471,1458.4,1455
1470.9,1470.9,1458.2,1455.1
1471,1471,1458.1,1455.4
1471.1,1471.1,1458,1455.8
1471.3,1471.3,1458,1456.3
1471.6,1471.6,1458.1,1456.8
1471.9,1471.9,1458.2,1457.1
1472.2,1472.2,1458.4,1457.4
1472.5,1472.5,1458.5,1457.7
1472.8,1472.8,1458.5,1458
1473.1,1473.1,1458.5,1458.2
1473.3,1473.3,1458.5,1458.4
1473.4,1473.4,1458.4,1458.5
1473.6,1473.6,1458.4,1458.5
1473.9,1473.9,1458.3,1458.5
1474.2,1474.2,1458.3,1458.4
1474.4,1474.4,1458.3,1458.4
1474.3,1474.3,1458.3,1458.4
1473.7,1473.7,1458.2,1458.4
1472.4,1472.4,1458.2,1458.6
1470.6,1470.6,1458.1,1458.9
1468.6,1468.6,1458.1,1459.2
1466.6,1466.6,1458.1,1459.5
1464.7,1464.7,1458.1,1459.8
1462.7,1462.7,1458,1460
1460.8,1460.8,1457.9,1460.2
1459.1,1459.1,1457.9,1460.1
1457.3,1457.3,1457.8,1459.8
1455.6,1455.6,1457.7,1459.4
1453.9,1453.9,1457.5,1459
1452,1452,1457.1,1458.4
1450.2,1450.2,1456.4,1458
1448.3,1448.3,1455.6,1457.7
1446.5,1446.5,1454.9,1457.7
1445.2,1445.2,1454.3,1457.7
1444.5,1444.5,1454.1,1458
1444.2,1444.2,1454.1,1458.2
1444.2,1444.2,1454.3,1458.3
1444.2,1444.2,1454.7,1458.2
1444.1,1444.1,1455.2,1457.6
1444,1444,1455.7,1456.5
1443.9,1443.9,1456.2,1455.3
1443.8,1443.8,1456.5,1454.2
1443.7,1443.7,1456.5,1453.4
1443.6,1443.6,1456.1,1453.2
1443.6,1443.6,1455.3,1453.6
1443.6,1443.6,1454.2,1454.1
1443.7,1443.7,1452.9,1454.6
1443.8,1443.8,1451.5,1454.8
1443.9,1443.9,1450.3,1454.5
1444,1444,1449.2,1453.9
1444.1,1444.1,1448.4,1453.1
1444.2,1444.2,1448,1452.3
1444.3,1444.3,1448.1,1451.6
1444.5,1444.5,1448.5,1451
1444.7,1444.7,1449.2,1450.6
1444.8,1444.8,1450.1,1450.4
1444.9,1444.9,1451,1450.7
1445,1445,1452.1,1451.4
1445,1445,1453.1,1452.4
1445.1,1445.1,1454.3,1453.5
1445.1,1445.1,1455.3,1454.6
1445.1,1445.1,1456.2,1455.4
1445.2,1445.2,1456.9,1456.3
1445.3,1445.3,1457.4,1458.1
1445.4,1445.4,1457.7,1460.9
1445.5,1445.5,1457.9,1464.1
1445.6,1445.6,1458,1467.6
1445.6,1445.6,1458,1470.5
1445.5,1445.5,1457.9,1471.7
1445.4,1445.4,1457.8,1470.9
1445.3,1445.3,1457.7,1468.8
1445.1,1445.1,1457.7,1465.9
1444.9,1444.9,1457.6,1462.5
1444.7,1444.7,1457.6,1459.5
1444.5,1444.5,1457.6,1457.2
1444.3,1444.3,1457.5,1455.6
1444,1444,1457.4,1454.7
1443.8,1443.8,1457.2,1454.5
1443.6,1443.6,1456.8,1454.6
1443.4,1443.4,1456.3,1454.7
1443.3,1443.3,1455.8,1454.6
1443.2,1443.2,1455.1,1454
1443.1,1443.1,1454.5,1453.2
1443,1443,1454.1,1452.4
1443,1443,1454.2,1451.8
1443,1443,1454.4,1451.7
1443.1,1443.1,1454.7,1452.3
1443.1,1443.1,1455,1453.1
1443.2,1443.2,1455.3,1454.1
1443.2,1443.2,1455.8,1455
1443.2,1443.2,1456.3,1455.9
1443.2,1443.2,1457,1456.5
1443.2,1443.2,1457.6,1456.8
1443.1,1443.1,1457.3,1457.1
1443.1,1443.1,1456.8,1457.2
1443,1443,1456.2,1457.2
1443,1443,1455.6,1457.1
1443,1443,1455.1,1456.7
1443.1,1443.1,1454.9,1456.1
1443.2,1443.2,1454.7,1455.4
1443.2,1443.2,1454.7,1454.8
1443.3,1443.3,1454.8,1454.3
1443.4,1443.4,1454.9,1454.2
1443.5,1443.5,1455.7,1454.2
1443.5,1443.5,1456.4,1454.2
1443.6,1443.6,1457.1,1453.9
1443.7,1443.7,1457.7,1453.2
1443.7,1443.7,1458.2,1452.3
1443.8,1443.8,1458.4,1451.5
1443.8,1443.8,1458.4,1451.1
1443.9,1443.9,1458.3,1451.2
1443.9,1443.9,1458.2,1451.9
1443.9,1443.9,1458.2,1452.7
1443.8,1443.8,1458.5,1453.4
1443.7,1443.7,1459,1453.8
1443.6,1443.6,1459.6,1454.1
1443.4,1443.4,1460.4,1454.2
1443.2,1443.2,1461.1,1454.3
1443,1443,1461.8,1454.3
1442.9,1442.9,1462.6,1454.2
1442.8,1442.8,1463.5,1453.9
1442.7,1442.7,1464.4,1453.3
1442.7,1442.7,1465,1452.7
1442.7,1442.7,1465,1452.2
1442.7,1442.7,1464.5,1451.9
1442.6,1442.6,1463.7,1451.7
1442.6,1442.6,1462.8,1451.5
1442.5,1442.5,1462,1451.3
1442.4,1442.4,1461.3,1451.1
1442.3,1442.3,1460.7,1451
1442.2,1442.2,1459.9,1451.4
1442.1,1442.1,1458.9,1452.2
1442,1442,1458,1453.4
1441.9,1441.9,1457.1,1455
1441.8,1441.8,1456.4,1456.6
1441.6,1441.6,1456,1457.8
1441.5,1441.5,1455.8,1458.6
1441.4,1441.4,1455.6,1458.9
1441.3,1441.3,1455.3,1458.5
1441.2,1441.2,1455,1457.9
1441.1,1441.1,1454.7,1457.1
1441,1441,1454.6,1456.3
1441,1441,1454.4,1455.6
1441,1441,1454.3,1455.2
1441,1441,1454.2,1455
